2#和3#反应器运行数据（输入数据相同）,,,,,,,,,,2#反应器,,,,,,,,,,,,,3#反应器,,,,,,,,,,,,,
时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,,,时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,
,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,,,,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,
21/11/2015,14.88 ,18960,2276,6.54 ,0.0732 ,6.64 ,35 ,312,906,,880,61.34 ,48,7.23,35,10,5,,21/11/2015,13.75 ,17520,2276,6.04 ,0.0677 ,6.64,35,312,906,,880,61.34 ,48 ,7.45,33,10,5
22/11/2015,11.92 ,19200,1800,6.62 ,0.0755 ,6.67 ,31 ,201,720,,800,55.56 ,54,7.45,33,8,5,,22/11/2015,11.62 ,18720,1800,6.46 ,0.0736 ,6.67,31,201,720,,800,55.56 ,36 ,7.51,32,8,5
23/11/2015,13.93 ,19200,2104,6.62 ,0.0742 ,6.65 ,31 ,336,840,,988,53.04 ,108,7.19,33,5,0,,23/11/2015,13.06 ,18000,2104,6.21 ,0.0695 ,6.65,31,336,840,,988,53.04 ,78 ,7.42,31,5,0
24/11/2015,15.21 ,18720,2356,6.46 ,0.0775 ,6.62 ,31 ,461,960,,920,60.95 ,78,7.36,32,2,-3,,24/11/2015,13.84 ,17040,2356,5.88 ,0.0705 ,6.62,31,461,960,,920,60.95 ,60 ,7.51,30.5,2,-3
25/11/2015,14.58 ,19680,2148,6.79 ,0.0801 ,6.65 ,32 ,269,912,,1080,49.72 ,78,7.35,32,0,-9,,25/11/2015,13.33 ,18000,2148,6.21 ,0.0732 ,6.65,32,269,912,,1076,49.91 ,60 ,7.55,29,0,-9
26/11/2015,13.63 ,19680,2008,6.79 ,0.0896 ,6.59 ,31 ,354,714,,828,58.76 ,102,7.23,32,-2,-11,,26/11/2015,12.46 ,18000,2008,6.21 ,0.0819 ,6.59,31,354,714,,808,59.76 ,102 ,7.56,26,-2,-11
28/11/2015,12.08 ,18240,1920,6.29 ,0.0912 ,6.62 ,33 ,81,738,,920,52.08 ,162,7.22,32,6,-4,,28/11/2015,11.12 ,16800,1920,5.79 ,0.0840 ,6.62,33,81,738,,888,53.75 ,150 ,7.45,31,6,-4
29/11/2015,13.48 ,18480,2116,6.37 ,0.0905 ,6.64 ,33 ,245,816,,840,60.30 ,150,6.99,33,6,-4,,29/11/2015,12.43 ,17040,2116,5.88 ,0.0834 ,6.64,33,245,816,,848,59.92 ,84 ,7.22,32,6,-4
30/11/2015,10.08 ,14880,1964,5.13 ,0.0708 ,6.66 ,32 ,225,840,,780,60.29 ,120,7.17,33.5,7,1,,30/11/2015,11.54 ,17040,1964,5.88 ,0.0811 ,6.66,32,225,840,,880,55.19 ,96 ,7.36,32,7,1
01/12/2015,15.25 ,19200,2304,6.62 ,0.0742 ,6.58 ,35 ,319,1008,,931,59.59 ,120,7.23,35,10,2,,01/12/2015,14.11 ,17760,2304,6.12 ,0.0686 ,6.58,35,319,1008,,931,59.59 ,120 ,7.57,33.8,10,2
03/12/2015,16.04 ,18240,2551,6.29 ,0.0774 ,6.64 ,34 ,183,1068,,1039,59.27 ,138,7.31,34,4,-4,,03/12/2015,14.57 ,16560,2551,5.71 ,0.0702 ,6.64,34,183,1068,,1039,59.27 ,132 ,7.68,33,4,-4
04/12/2015,15.72 ,18480,2467,6.37 ,0.0790 ,6.59 ,34 ,469,954,,1070,56.63 ,102,7.15,34,6,-3,,04/12/2015,14.29 ,16800,2467,5.79 ,0.0718 ,6.59,34,469,954,,1070,56.63 ,114 ,7.39,31,6,-3
05/12/2015,15.46 ,18720,2395,6.46 ,0.0788 ,6.67 ,35 ,300,1212,,1090,54.49 ,192,7.16,34,6,-3,,05/12/2015,14.27 ,17280,2395,5.96 ,0.0727 ,6.67,35,300,1212,,1062,55.66 ,156 ,7.34,33.5,6,-3
06/12/2015,14.01 ,18240,2228,6.29 ,0.0830 ,6.62 ,35 ,389,936,,935,58.03 ,108,7.3,34.5,8,-2,,06/12/2015,12.91 ,16800,2228,5.79 ,0.0765 ,6.62,34.8,389,936,,915,58.93 ,120 ,7.13,33,8,-2
07/12/2015,12.71 ,17280,2133,5.96 ,0.0769 ,6.64 ,35 ,551,1026,,926,56.59 ,102,7.12,34.5,8,1,,07/12/2015,12.00 ,16320,2133,5.63 ,0.0726 ,6.64,35,551,1026,,852,60.06 ,78 ,7.33,33.5,8,1
08/12/2015,15.35 ,17760,2507,6.12 ,0.0955 ,6.68 ,35 ,989,960,,816,67.45 ,120,7.19,35,10,2,,08/12/2015,14.52 ,16800,2507,5.79 ,0.0904 ,6.68,35,989,960,,855,65.90 ,108 ,7.36,34.8,10,2
09/12/2015,14.75 ,17280,2475,5.96 ,0.0894 ,6.67 ,35 ,716,936,,935,62.22 ,96,7.35,32.5,11,5,,09/12/2015,13.93 ,16320,2475,5.63 ,0.0844 ,6.67,35,716,936,,943,61.90 ,102 ,7.5,32,11,5
10/12/2015,9.77 ,11520,2459,3.97 ,0.0548 ,6.66 ,33 ,1177,966,,947,61.49 ,108,7.22,34.2,10,2,,10/12/2015,13.23 ,15600,2459,5.38 ,0.0742 ,6.66,33,1177,966,,1067,56.61 ,102 ,7.36,33.5,10,2
11/12/2015,14.80 ,18720,2292,6.46 ,0.0768 ,6.65 ,33 ,363,1062,,911,60.25 ,120,7.14,33,5,-3,,11/12/2015,14.04 ,17760,2292,6.12 ,0.0729 ,6.65,33,363,1062,,983,57.11 ,108 ,7.23,32,5,-3
12/12/2015,14.25 ,18960,2180,6.54 ,0.0876 ,6.67 ,33 ,595,858,,796,63.49 ,84,7.23,33.5,6,-5,,12/12/2015,13.53 ,18000,2180,6.21 ,0.0832 ,6.67,33,595,858,,1066,51.10 ,96 ,7.34,32,6,-5
13/12/2015,12.15 ,18960,1858,6.54 ,0.0830 ,6.60 ,33 ,532,834,,836,55.01 ,126,7.2,32.8,7,-2,,13/12/2015,11.38 ,17760,1858,6.12 ,0.0778 ,6.6,33,532,834,,911,50.97 ,114 ,7.44,32,7,-2
14/12/2015,14.38 ,19440,2145,6.70 ,0.0885 ,6.65 ,34 ,537,888,,816,61.96 ,90,7.21,34,7,-4,,14/12/2015,13.31 ,18000,2145,6.21 ,0.0819 ,6.65,34,537,888,,836,61.03 ,72 ,7.37,33.8,7,-4
15/12/2015,15.20 ,19440,2268,6.70 ,0.0905 ,6.67 ,34 ,490,912,,935,58.77 ,144,7.15,32.3,5,-5,,15/12/2015,13.70 ,17520,2268,6.04 ,0.0816 ,6.67,34,490,912,,875,61.42 ,132 ,7.49,31.5,5,-5
16/12/2015,14.59 ,19200,2203,6.62 ,0.0748 ,6.64 ,32 ,562,936,,884,59.87 ,108,7.14,32.2,2,-7,,16/12/2015,12.58 ,16560,2203,5.71 ,0.0645 ,6.64,32,562,936,,769,65.09 ,108 ,7.36,30.5,2,-7
17/12/2015,14.27 ,18720,2211,6.46 ,0.1001 ,6.98 ,32 ,743,870,,916,58.57 ,132,7.02,32,3,-5,,17/12/2015,12.08 ,15840,2211,5.46 ,0.0847 ,6.98,31.5,743,870,,896,59.48 ,144 ,7.35,29.5,3,-5
18/12/2015,14.76 ,17760,2410,6.12 ,0.0900 ,6.97 ,33 ,527,894,,916,61.99 ,114,7.13,32.5,7,-4,,18/12/2015,12.96 ,15600,2410,5.38 ,0.0791 ,6.97,33,527,894,,837,65.27 ,120 ,7.28,32.8,7,-4
19/12/2015,18.23 ,18480,2861,6.37 ,0.0809 ,6.65 ,34 ,525,1020,,1016,64.49 ,132,7.04,33.8,6,-3,,19/12/2015,16.10 ,16320,2861,5.63 ,0.0715 ,6.65,34,525,1020,,984,65.61 ,96 ,7.31,31.5,6,-3
20/12/2015,13.28 ,18480,2084,6.37 ,0.0918 ,6.67 ,33 ,556,900,,920,55.85 ,132,7.24,34,6,-1,,20/12/2015,11.73 ,16320,2084,5.63 ,0.0810 ,6.67,32.5,556,900,,988,52.59 ,120 ,7.42,33.5,6,-1
21/12/2015,14.85 ,18480,2331,6.37 ,0.0822 ,6.67 ,32 ,577,996.6,,892,61.73 ,96,7.16,33.5,8,-1,,21/12/2015,12.92 ,16080,2331,5.54 ,0.0715 ,6.67,32,577,996.6,,817,64.95 ,96 ,7.34,32,8,-1
22/12/2015,14.77 ,19200,2231,6.62 ,0.0927 ,6.66 ,33 ,437,948,,916,58.94 ,78,7.22,33.8,8,3,,22/12/2015,11.82 ,15360,2231,5.30 ,0.0742 ,6.66,33,437,948,,884,60.38 ,120 ,7.38,33.5,8,3
23/12/2015,13.80 ,19200,2084,6.62 ,0.0847 ,6.69 ,34 ,351,1152,,872,58.16 ,120,7.26,33.5,8,-1,,23/12/2015,11.90 ,16560,2084,5.71 ,0.0731 ,6.69,34,351,1152,,757,63.68 ,102 ,7.45,31.5,8,-1
24/12/2015,11.96 ,19920,1741,6.87 ,0.0886 ,6.65 ,33 ,373,1008,,701,59.74 ,96,7.38,33,6,-7,,24/12/2015,9.94 ,16560,1741,5.71 ,0.0737 ,6.65,33,373,1008,,701,59.74 ,114 ,7.22,31,6,-7
25/12/2015,12.91 ,17760,2108,6.12 ,0.0643 ,6.66 ,34 ,377,1104,,709,66.37 ,108,7.28,33.5,9,-2,,25/12/2015,13.61 ,18720,2108,6.46 ,0.0678 ,6.66,34,377,1104,,753,64.28 ,144 ,7.43,33,9,-2
26/12/2015,10.74 ,15600,1996,5.38 ,0.0753 ,6.66 ,34 ,474,852,,797,60.07 ,60,7.2,33.8,7,-5,,26/12/2015,11.07 ,16080,1996,5.54 ,0.0776 ,6.66,34,474,852,,618,69.04 ,72 ,7.43,33,7,-5
27/12/2015,14.02 ,17040,2386,5.88 ,0.0740 ,6.60 ,34 ,302,918,,876,63.29 ,48,7.33,33.5,0,-5,,27/12/2015,14.81 ,18000,2386,6.21 ,0.0782 ,6.6,34,302,918,,769,67.77 ,132 ,7.45,32,0,-5
28/12/2015,16.24 ,18000,2617,6.21 ,0.0720 ,6.67 ,34 ,238,972,,898,65.69 ,96,7.13,34,4,-4,,28/12/2015,16.68 ,18480,2617,6.37 ,0.0739 ,6.67,34,238,972,,853,67.41 ,144 ,7.34,33,4,-4
29/12/2015,15.54 ,18480,2438,6.37 ,0.0752 ,6.62 ,34 ,319,924,,874,64.15 ,90,7.11,33.7,7,-2,,29/12/2015,15.54 ,18480,2438,6.37 ,0.0752 ,6.62,34,319,924,,1016,58.33 ,150 ,7.26,33,7,-2
30/12/2015,15.08 ,18240,2397,6.29 ,0.0742 ,6.62 ,33 ,269,900,,849,64.58 ,96,7.01,34,6,-4,,30/12/2015,15.27 ,18480,2397,6.37 ,0.0752 ,6.62,33,269,900,,934,61.03 ,84 ,7.16,33,6,-4
31/12/2015,13.18 ,16800,2275,5.79 ,0.0938 ,6.68 ,32 ,295,900,,971,57.32 ,84,7.18,32,6,-4,,31/12/2015,14.12 ,18000,2275,6.21 ,0.1006 ,6.68,32,295,900,,/,#VALUE!,120 ,7.2,30,6,-4
01/01/2016,11.97 ,15120,2296,5.21 ,0.0636 ,6.66 ,33 ,495,1026,,857,62.67 ,96,7.33,33,10,-3,,01/01/2016,14.06 ,17760,2296,6.12 ,0.0747 ,6.66,33,495,1026,,809,64.76 ,120 ,7.53,32.5,10,-3
02/01/2016,14.27 ,16560,2499,5.71 ,0.0697 ,6.68 ,34 ,244,1032,,609,75.63 ,120,7.19,34,12,-1,,02/01/2016,15.72 ,18240,2499,6.29 ,0.0767 ,6.68,34,244,1032,,731,70.75 ,120 ,7.37,33.5,12,-1
03/01/2016,14.55 ,17280,2442,5.96 ,0.0709 ,6.65 ,35 ,291,1020,,934,61.75 ,120,7.12,33.5,8,-2,,03/01/2016,14.75 ,17520,2442,6.04 ,0.0719 ,6.65,35,291,1020,,914,62.57 ,150 ,7.36,34,8,-2
04/01/2016,15.42 ,17280,2588,5.96 ,0.0739 ,6.68 ,35 ,157,972,,878,66.07 ,96,7.26,35,4,-4,,04/01/2016,16.71 ,18720,2588,6.46 ,0.0800 ,6.68,35,157,972,,878,66.07 ,102 ,7.6,34,4,-4
05/01/2016,15.67 ,17280,2629,5.96 ,0.0644 ,6.67 ,35 ,110,924,,951,63.83 ,60,7.16,35,4,-4,,05/01/2016,16.97 ,18720,2629,6.46 ,0.0697 ,6.67,35,110,924,,894,65.99 ,48 ,7.42,34,4,-4
06/01/2016,15.28 ,16800,2637,5.79 ,0.0684 ,6.65 ,35 ,238,948,,813,69.17 ,48,7.05,34.8,5,-5,,06/01/2016,17.02 ,18720,2637,6.46 ,0.0762 ,6.65,34.5,238,948,,943,64.24 ,66 ,7.29,34.2,5,-5
07/01/2016,13.42 ,16320,2385,5.63 ,0.0597 ,6.63 ,34 ,183,972,,841,64.74 ,60,7.11,34,2,-6,,07/01/2016,15.40 ,18720,2385,6.46 ,0.0684 ,6.63,34,183,972,,886,62.85 ,84 ,7.22,33.8,2,-6
08/01/2016,10.69 ,17040,1820,5.88 ,0.0776 ,6.65 ,33 ,592,888,,800,56.04 ,60,7.08,33,3,-8,,08/01/2016,11.75 ,18720,1820,6.46 ,0.0852 ,6.65,33,592,888,,841,53.79 ,84 ,7.37,33.5,3,-8
09/01/2016,13.49 ,16320,2397,5.63 ,0.0810 ,6.63 ,33 ,573,996,,926,61.37 ,48,7.25,33,6,-9,,09/01/2016,15.08 ,18240,2397,6.29 ,0.0906 ,6.63,33,573,996,,983,58.99 ,78 ,7.32,33,6,-9
10/01/2016,13.18 ,16800,2275,5.79 ,0.0765 ,6.68 ,32 ,462,924,,768,66.24 ,84,7.21,31,6,-4,,10/01/2016,15.06 ,19200,2275,6.62 ,0.0874 ,6.68,32,462,924,,813,64.26 ,48 ,7.48,30,6,-4
11/01/2016,12.79 ,16320,2272,5.63 ,0.0934 ,6.68 ,33 ,1480,876,,772,66.02 ,60,7.11,32.5,0,-9,,11/01/2016,14.48 ,18480,2272,6.37 ,0.1058 ,6.68,33,1480,876,,870,61.71 ,72 ,7.35,31.5,0,-9
12/01/2016,13.19 ,16800,2276,5.79 ,0.0753 ,6.66 ,33 ,788,1044,,854,62.48 ,78,7.26,32,0,-11,,12/01/2016,14.88 ,18960,2276,6.54 ,0.0850 ,6.66,33,788,1044,,956,58.00 ,120 ,7.43,32,0,-11
13/01/2016,13.86 ,16080,2500,5.54 ,0.0754 ,6.61 ,33 ,1089,1068,,870,65.20 ,114,7.2,33,3,-7,,13/01/2016,16.34 ,18960,2500,6.54 ,0.0889 ,6.61,33,1089,1068,,1138,54.48 ,156 ,7.4,32.5,3,-7
14/01/2016,13.04 ,17040,2219,5.88 ,0.0787 ,6.67 ,32 ,779,1008,,890,59.89 ,72,7.14,32.5,6,-6,,14/01/2016,15.06 ,19680,2219,6.79 ,0.0909 ,6.67,32,779,1008,,955,56.96 ,126 ,7.36,32,6,-6
15/01/2016,14.71 ,17760,2402,6.12 ,0.0796 ,6.69 ,34 ,471,1140,,898,62.61 ,102,7.22,33.2,6,-6,,15/01/2016,14.71 ,17760,2402,6.12 ,0.0796 ,6.69,33.9,471,1140,,898,62.61 ,144 ,7.42,33.5,6,-6
16/01/2016,14.53 ,18480,2280,6.37 ,0.0886 ,6.63 ,34 ,518,1002,,801,64.87 ,54,7.26,34,8,-6,,16/01/2016,13.96 ,17760,2280,6.12 ,0.0851 ,6.63,34,518,1002,,809,64.52 ,78 ,7.51,34,8,-6
17/01/2016,16.03 ,18240,2549,6.29 ,0.0811 ,6.69 ,34 ,521,1092,,772,69.71 ,78,7.21,35,0,-9,,17/01/2016,15.82 ,18000,2549,6.21 ,0.0801 ,6.69,34,521,1092,,967,62.06 ,84 ,7.42,34.5,0,-9
18/01/2016,14.86 ,18240,2362,6.29 ,0.0925 ,6.66 ,32 ,759,972,,748,68.33 ,72,7.12,32.5,-3,-12,,18/01/2016,14.27 ,17520,2362,6.04 ,0.0888 ,6.66,32,759,972,,821,65.24 ,96 ,7.33,32,-3,-12
19/01/2016,13.48 ,18000,2171,6.21 ,0.0807 ,6.66 ,32 ,476,996,,885,59.24 ,42,7.27,31,-2,-10,,19/01/2016,13.12 ,17520,2171,6.04 ,0.0785 ,6.66,32,476,996,,886,59.19 ,96 ,7.54,31.8,-2,-10
20/01/2016,15.62 ,18480,2451,6.37 ,0.0816 ,6.48 ,31 ,367,1002,,825,66.34 ,54,7.25,32,-1,-10,,20/01/2016,14.81 ,17520,2451,6.04 ,0.0773 ,6.48,30.5,367,1002,,866,64.67 ,108 ,7.48,32,-1,-10
21/01/2016,10.32 ,18000,1663,6.21 ,0.0869 ,6.47 ,32 ,565,912,,732,55.98 ,102,7.24,31,1,-8,,21/01/2016,10.18 ,17760,1663,6.12 ,0.0857 ,6.47,32,565,912,,805,51.59 ,150 ,7.43,31,1,-8
22/01/2016,11.39 ,17040,1939,5.88 ,0.0752 ,6.52 ,31 ,505,984,,683,64.78 ,54,7.12,31,-3,-16,,22/01/2016,11.23 ,16800,1939,5.79 ,0.0742 ,6.52,31,505,984,,785,59.52 ,84 ,7.22,31,-3,-16
23/01/2016,12.72 ,16800,2195,5.79 ,0.0765 ,6.44 ,31 ,322,1008,,854,61.09 ,84,7.24,31,-10,-19,,23/01/2016,13.26 ,17520,2195,6.04 ,0.0797 ,6.44,31,322,1008,,858,60.91 ,72 ,7.35,30.5,-10,-19
24/01/2016,9.72 ,16560,1703,5.71 ,0.0000 ,6.47 ,29 ,1266,0,,732,57.02 ,0,7.18,28,-6,-10,,24/01/2016,9.87 ,16800,1703,5.79 ,0.0000 ,6.47,29,1266,0,,772,54.67 ,0 ,7.4,28,-6,-10
25/01/2016,12.19 ,18000,1964,6.21 ,0.0000 ,6.43 ,30 ,488,0,,818,58.35 ,0,7.23,30,3,-13,,25/01/2016,12.19 ,18000,1964,6.21 ,0.0000 ,6.43,30,488,0,,802,59.16 ,0 ,7.37,30,3,-13
26/01/2016,12.71 ,18000,2048,6.21 ,0.0000 ,6.42 ,30 ,256,0,,685,66.55 ,0,7.26,30,2,-9,,26/01/2016,12.88 ,18240,2048,6.29 ,0.0000 ,6.42,30,256,0,,629,69.29 ,0 ,7.44,30,2,-9
27/01/2016,12.90 ,16800,2226,5.79 ,0.0000 ,6.47 ,32 ,2056,0,,645,71.02 ,0,7.19,32,5,-10,,27/01/2016,12.90 ,16800,2226,5.79 ,0.0000 ,6.47,32,2056,0,,790,64.51 ,0 ,7.41,31.5,5,-10
28/01/2016,14.02 ,16080,2528,5.54 ,0.0000 ,6.43 ,31 ,326,0,,798,68.43 ,0,7.22,30,5,-5,,28/01/2016,14.64 ,16800,2528,5.79 ,0.0000 ,6.43,30.5,326,0,,879,65.23 ,0 ,7.36,30,5,-5
29/01/2016,12.99 ,15600,2415,5.38 ,0.0721 ,6.42 ,30 ,969,960,,726,69.94 ,54,7.13,30,1,-6,,29/01/2016,13.99 ,16800,2415,5.79 ,0.0776 ,6.42,30,969,960,,762,68.45 ,66 ,7.27,30,1,-6
30/01/2016,13.34 ,15600,2480,5.38 ,0.0646 ,6.40 ,30 ,551,960,,694,72.02 ,54,7.19,30,-1,-10,,30/01/2016,14.37 ,16800,2480,5.79 ,0.0695 ,6.4,30,551,960,,734,70.40 ,48 ,7.36,30,-1,-10
31/01/2016,12.33 ,15840,2258,5.46 ,0.0776 ,6.42 ,29 ,1040,666,,806,64.30 ,30,6.97,29,-1,-10,,31/01/2016,13.64 ,17520,2258,6.04 ,0.0858 ,6.42,29,1040,666,,802,64.48 ,66 ,7.17,29,-1,-10
01/02/2016,10.68 ,13200,2347,4.55 ,0.0646 ,6.41 ,30 ,686,948,,762,67.53 ,72,6.91,29,3,-7,,01/02/2016,12.63 ,15600,2347,5.38 ,0.0764 ,6.41,30,686,948,,806,65.66 ,60 ,7.19,29,3,-7
02/02/2016,10.34 ,14160,2117,4.88 ,0.0625 ,6.45 ,31 ,521,1056,,702,66.84 ,54,7.12,31,5,-5,,02/02/2016,12.26 ,16800,2117,5.79 ,0.0742 ,6.45,31,521,1056,,823,61.12 ,84 ,7.37,31,5,-5
03/02/2016,12.79 ,14880,2492,5.13 ,0.0682 ,6.80 ,31 ,1230,1110,,839,66.33 ,60,7.17,30.5,8,-8,,03/02/2016,14.44 ,16800,2492,5.79 ,0.0770 ,6.8,31,1230,1110,,766,69.26 ,54 ,7.43,30.8,8,-8
04/02/2016,11.50 ,14880,2242,5.13 ,0.0667 ,6.64 ,31 ,1090,1068,,714,68.15 ,42,7.1,31,6,-5,,04/02/2016,12.99 ,16800,2242,5.79 ,0.0753 ,6.64,31,1090,1068,,790,64.76 ,54 ,7.33,31,6,-5
05/02/2016,14.34 ,15840,2625,5.46 ,0.0694 ,6.38 ,30 ,1003,1062,,718,72.65 ,54,7.24,30,5,-6,,05/02/2016,15.86 ,17520,2625,6.04 ,0.0767 ,6.38,30,1003,1062,,726,72.34 ,66 ,7.44,30,5,-6
06/02/2016,10.72 ,15120,2056,5.21 ,0.0647 ,6.41 ,31 ,1420,960,,605,70.57 ,60,7.14,31.5,4,-7,,06/02/2016,11.91 ,16800,2056,5.79 ,0.0718 ,6.41,31,1420,960,,806,60.80 ,66 ,7.39,31,4,-7
07/02/2016,10.97 ,13920,2285,4.80 ,0.0562 ,6.50 ,31 ,371,996,,754,67.00 ,30,7.23,30.5,8,-8,,07/02/2016,12.86 ,16320,2285,5.63 ,0.0658 ,6.5,31,371,996,,773,66.17 ,60 ,7.38,30,8,-8
08/02/2016,10.71 ,13680,2270,4.72 ,0.0594 ,6.45 ,32 ,600,960,,656,71.10 ,48,7.27,32,13,-3,,08/02/2016,12.96 ,16560,2270,5.71 ,0.0720 ,6.45,32,600,960,,699,69.21 ,90 ,7.52,31.5,13,-3
09/02/2016,11.35 ,13440,2450,4.63 ,0.0426 ,6.47 ,33 ,494,1122,,640,73.88 ,84,7.36,32.8,13,-4,,09/02/2016,13.99 ,16560,2450,5.71 ,0.0525 ,6.47,33,494,1122,,675,72.45 ,90 ,7.72,32,13,-4
10/02/2016,11.94 ,13680,2532,4.72 ,0.0557 ,6.36 ,33 ,461,1026,,676,73.30 ,48,7.24,32,15,5,,10/02/2016,14.67 ,16800,2532,5.79 ,0.0684 ,6.36,33,461,1026,,683,73.03 ,72 ,7.49,32,15,5
11/02/2016,13.40 ,14880,2612,5.13 ,0.0621 ,6.41 ,33 ,449,1014,,672,74.27 ,54,7.29,33,13,5,,11/02/2016,14.70 ,16320,2612,5.63 ,0.0681 ,6.41,33,449,1014,,676,74.12 ,78 ,7.46,33,13,5
13/02/2016,8.37 ,11520,2108,3.97 ,0.0493 ,6.69 ,27 ,257,972,,695,67.03 ,42,7.46,30.5,2,-9,,13/02/2016,8.20 ,11280,2108,3.89 ,0.0482 ,6.69,27,257,972,,750,64.42 ,60 ,7.61,30,2,-9
14/02/2016,5.07 ,7200,2042,2.48 ,0.0330 ,6.90 ,26 ,122,960,,738,63.86 ,30,7.19,25,-2,-10,,14/02/2016,5.24 ,7440,2042,2.57 ,0.0341 ,6.9,26,122,960,,648,68.27 ,24 ,7.55,25,-2,-10
15/02/2016,6.18 ,9360,1916,3.23 ,0.0310 ,6.38 ,25 ,158,990,,640,66.60 ,54,7.38,24.5,2,-4,,15/02/2016,6.82 ,10320,1916,3.56 ,0.0342 ,6.38,25,158,990,,632,67.01 ,60 ,7.55,24.5,2,-4
16/02/2016,7.08 ,9600,2140,3.31 ,0.0457 ,6.88 ,25 ,398,816,,636,70.28 ,84,7.43,23.8,6,-5,,16/02/2016,7.62 ,10320,2140,3.56 ,0.0491 ,6.88,25,398,816,,609,71.54 ,48 ,7.65,23.5,6,-5
18/02/2016,3.78 ,5040,2175,1.74 ,0.0219 ,6.52 ,25 ,145,1044,,624,71.31 ,84,7.08,25,9,-2,,18/02/2016,5.94 ,7920,2175,2.73 ,0.0344 ,6.52,25,145,1044,,750,65.52 ,90 ,7.31,25,9,-2
19/02/2016,4.87 ,7200,1963,2.48 ,0.0310 ,6.73 ,26 ,183,996,,565,71.22 ,30,7.21,25,10,-5,,19/02/2016,7.15 ,10560,1963,3.64 ,0.0455 ,6.73,26,183,996,,687,65.00 ,60 ,7.46,24.5,10,-5
20/02/2016,1.61 ,3360,1386,1.16 ,0.0190 ,6.72 ,24 ,134,594,,542,60.89 ,18,7.26,24,5,-6,,20/02/2016,2.52 ,5280,1386,1.82 ,0.0299 ,6.72,24,134,594,,593,57.22 ,54 ,7.47,24,5,-6
21/02/2016,7.32 ,13680,1551,4.72 ,0.0594 ,6.71 ,23 ,160,744,,569,63.31 ,60,7.15,23.5,8,-6,,21/02/2016,8.09 ,15120,1551,5.21 ,0.0657 ,6.71,23,160,744,,616,60.28 ,54 ,7.37,22.8,8,-6
22/02/2016,7.24 ,13680,1535,4.72 ,0.0594 ,6.89 ,27 ,160,744,,514,66.51 ,48,7.07,25,8,-5,,22/02/2016,8.00 ,15120,1535,5.21 ,0.0657 ,6.89,27,160,744,,702,54.27 ,84 ,7.26,25,8,-5
23/02/2016,12.02 ,16320,2136,5.63 ,0.0445 ,6.41 ,30 ,142,846,,648,69.66 ,66,7.03,28.8,4,-6,,23/02/2016,11.49 ,15600,2136,5.38 ,0.0425 ,6.41,30,142,846,,707,66.90 ,90 ,7.19,28,4,-6
24/02/2016,5.98 ,7680,2257,2.65 ,0.0217 ,6.58 ,28 ,203,852,,691,69.38 ,54,7.09,29.5,7,-2,,24/02/2016,5.23 ,6720,2257,2.32 ,0.0190 ,6.58,28,203,852,,773,65.75 ,78 ,7.23,29,7,-2
25/02/2016,10.88 ,16080,1963,5.54 ,0.0499 ,6.83 ,30 ,127,852,,703,64.19 ,66,7.21,28.5,8,-5,,25/02/2016,9.26 ,13680,1963,4.72 ,0.0425 ,6.83,30,127,852,,742,62.20 ,114 ,7.35,28,8,-5
26/02/2016,11.97 ,16080,2159,5.54 ,0.0449 ,6.58 ,31 ,197,834,,620,71.28 ,54,7.15,30.5,11,-1,,26/02/2016,10.36 ,13920,2159,4.80 ,0.0389 ,6.58,31,197,834,,715,66.88 ,48 ,7.3,30,11,-1
27/02/2016,15.11 ,18000,2435,6.21 ,0.0534 ,6.48 ,32 ,204,972,,774,68.21 ,54,6.99,32,9,-2,,27/02/2016,11.08 ,13200,2435,4.55 ,0.0391 ,6.48,32,204,972,,848,65.17 ,78 ,7.19,31.7,9,-2
28/02/2016,11.40 ,16080,2056,5.54 ,0.0538 ,6.62 ,31 ,227,840,,704,65.76 ,66,7.06,30.5,5,-4,,28/02/2016,9.87 ,13920,2056,4.80 ,0.0466 ,6.62,31,227,840,,762,62.94 ,90 ,7.28,30,5,-4
29/02/2016,10.84 ,14160,2220,4.88 ,0.0444 ,6.61 ,30 ,324,930,,672,69.73 ,54,7.16,30.8,5,-5,,29/02/2016,10.66 ,13920,2220,4.80 ,0.0437 ,6.61,29.5,324,930,,719,67.61 ,90 ,7.34,31,5,-5
01/03/2016,13.63 ,16800,2353,5.79 ,0.0568 ,6.72 ,31 ,388,936,,672,71.44 ,66,7.19,31,12,-1,,01/03/2016,12.66 ,15600,2353,5.38 ,0.0527 ,6.72,31,388,936,,809,65.62 ,102 ,7.38,30,12,-1
02/03/2016,13.61 ,16560,2384,5.71 ,0.0548 ,6.42 ,34 ,408,984,,743,68.83 ,54,7.15,34,19,6,,02/03/2016,13.42 ,16320,2384,5.63 ,0.0540 ,6.42,34,408,984,,782,67.20 ,84 ,7.33,34,19,6
03/03/2016,14.97 ,15840,2740,5.46 ,0.0508 ,6.74 ,34 ,317,1080,,747,72.74 ,78,7.11,34,24,8,,03/03/2016,15.19 ,16080,2740,5.54 ,0.0516 ,6.74,34,317,1080,,801,70.77 ,78 ,7.39,34,24,8
